buying price,maintenance cost,number of doors,number of persons,luggage boot,safety,decision
vhigh,vhigh,2,2,small,low,unacceptable
vhigh,vhigh,2,2,small,med,unacceptable
vhigh,vhigh,2,2,small,,unacceptable
vhigh,vhigh,,2,med,low,unacceptable
vhigh,vhigh,2,2,med,med,unacceptable
,vhigh,2,2,med,high,unacceptable
vhigh,vhigh,2,2,big,low,unacceptable
vhigh,vhigh,2,2,big,med,
vhigh,vhigh,2,2,big,high,unacceptable
vhigh,vhigh,2,4,small,low,unacceptable
vhigh,vhigh,2,4,small,med,unacceptable
vhigh,vhigh,2,4,small,,unacceptable
vhigh,vhigh,,4,med,low,unacceptable
vhigh,vhigh,,4,med,med,unacceptable
vhigh,vhigh,2,4,med,,unacceptable
vhigh,vhigh,2,4,big,low,unacceptable
,vhigh,2,4,big,med,unacceptable
vhigh,vhigh,2,4,big,,unacceptable
vhigh,vhigh,2,more,small,low,unacceptable
vhigh,vhigh,2,more,small,,unacceptable
vhigh,vhigh,2,more,small,high,unacceptable
vhigh,vhigh,2,more,med,low,unacceptable
vhigh,vhigh,,more,med,med,unacceptable
vhigh,vhigh,2,more,med,,
vhigh,vhigh,2,more,big,low,unacceptable
vhigh,vhigh,,more,big,,unacceptable
vhigh,vhigh,2,more,big,high,unacceptable
vhigh,vhigh,3,2,small,low,unacceptable
vhigh,vhigh,3,2,small,,unacceptable
vhigh,vhigh,3,2,small,,unacceptable
vhigh,vhigh,3,2,med,,unacceptable
vhigh,vhigh,,2,med,,
,vhigh,3,2,med,high,unacceptable
vhigh,vhigh,3,2,big,low,unacceptable
vhigh,vhigh,3,2,big,med,unacceptable
vhigh,vhigh,3,2,big,high,
vhigh,vhigh,3,4,small,low,unacceptable
vhigh,vhigh,3,4,small,med,unacceptable
vhigh,vhigh,3,4,small,high,unacceptable
vhigh,vhigh,3,4,med,low,unacceptable
vhigh,vhigh,3,4,med,med,
vhigh,vhigh,3,4,med,high,unacceptable
vhigh,vhigh,3,4,big,low,unacceptable
vhigh,vhigh,3,4,big,med,unacceptable
vhigh,vhigh,,4,big,,unacceptable
,vhigh,3,more,small,low,unacceptable
vhigh,vhigh,3,more,small,med,
,vhigh,3,more,small,high,unacceptable
vhigh,vhigh,,more,med,low,unacceptable
vhigh,vhigh,3,more,med,med,unacceptable
vhigh,vhigh,3,more,med,,
vhigh,vhigh,3,more,big,low,unacceptable
vhigh,vhigh,3,more,big,med,unacceptable
vhigh,vhigh,,more,big,high,unacceptable
vhigh,vhigh,,2,small,,unacceptable
vhigh,vhigh,,2,small,med,unacceptable
vhigh,vhigh,4,2,small,high,unacceptable
vhigh,vhigh,4,2,med,low,unacceptable
vhigh,vhigh,,2,med,med,unacceptable
,vhigh,4,2,med,high,unacceptable
vhigh,vhigh,,2,big,low,unacceptable
,vhigh,4,2,big,med,unacceptable
vhigh,vhigh,4,2,big,high,unacceptable
vhigh,vhigh,4,4,small,low,unacceptable
vhigh,vhigh,,4,small,med,unacceptable
vhigh,vhigh,4,4,small,high,
vhigh,vhigh,4,4,med,low,unacceptable
vhigh,vhigh,4,4,med,med,unacceptable
vhigh,vhigh,,4,med,high,
vhigh,vhigh,4,4,big,low,unacceptable
vhigh,vhigh,,4,big,med,unacceptable
vhigh,vhigh,4,4,big,high,unacceptable
vhigh,vhigh,4,more,small,low,unacceptable
vhigh,vhigh,4,more,small,med,unacceptable
vhigh,vhigh,4,more,small,high,unacceptable
vhigh,vhigh,4,more,med,low,
vhigh,vhigh,4,more,med,med,unacceptable
vhigh,vhigh,4,more,med,high,unacceptable
vhigh,vhigh,4,more,big,low,unacceptable
vhigh,vhigh,4,more,big,med,unacceptable
,vhigh,4,more,big,high,unacceptable
vhigh,vhigh,5more,2,small,,unacceptable
vhigh,vhigh,5more,2,small,med,unacceptable
vhigh,vhigh,5more,2,small,high,unacceptable
vhigh,vhigh,5more,2,med,low,unacceptable
vhigh,vhigh,5more,2,med,med,unacceptable
vhigh,vhigh,5more,2,med,high,
,vhigh,5more,2,big,low,
vhigh,vhigh,5more,2,big,med,unacceptable
vhigh,vhigh,5more,2,big,high,unacceptable
vhigh,vhigh,,4,small,low,unacceptable
vhigh,vhigh,5more,4,small,med,unacceptable
,vhigh,5more,4,small,high,unacceptable
vhigh,vhigh,5more,4,med,low,unacceptable
vhigh,vhigh,5more,4,med,med,unacceptable
,vhigh,,4,med,high,
vhigh,vhigh,5more,4,big,low,unacceptable
vhigh,vhigh,5more,4,big,,unacceptable
